"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 02; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"NJ0005100","110007970142","2869","","CHEMOURS CHAMBERS WORKS","DEEPWATER","NJ","08023","SALEM","34033","02","NON-POTW","NPDES Individual Permit","Major","020402060103",,62.6,"39.682362","-75.491379","Phosphorus",7578.585,4759.664945,,0,.3420019850006639967009848119491448421414,"DMR Data","DMR Data","Y","Y"
2020,"NJ0005185","110013317614","2821","","SOLVAY SOLEXIS INC","THOROFARE","NJ","08086","GLOUCESTER","34015","02","NON-POTW","NPDES Individual Permit","Major","020402020507",,.727,"39.845474","-75.209486","Nitrogen",4275.222573415421060071506040702625321575,123.887164,356.268547784618421672625503391885443465,,4.29855588789545951288464158127270307873,"Modeled","DMR Data","Y",""
2020,"NJ0005185","110013317614","2821","","SOLVAY SOLEXIS INC","THOROFARE","NJ","08086","GLOUCESTER","34015","02","NON-POTW","NPDES Individual Permit","Major","020402020507",,.727,"39.845474","-75.209486","Phosphorus",216.70322555166662619755182654359204995,123.887164,18.05860212930555218312931887863267082917,,.219033481463423060151081728947326627958,"Modeled","DMR Data","Y",""
2020,"NJ0005541","110000582227","2879","","PRINCETON LAND LLC","PRINCETON JUNCTION","NJ","08550","MERCER","34021","02","NON-POTW","NPDES Individual Permit","Major","020401050803",,.22,"40.29013","-74.67654","Nitrogen",540.43919493039,18.632902,45.0365995775325,,2.67625,"Modeled","DMR Data","Y","Y"
2020,"NJ0005541","110000582227","2879","","PRINCETON LAND LLC","PRINCETON JUNCTION","NJ","08550","MERCER","34021","02","NON-POTW","NPDES Individual Permit","Major","020401050803",,.22,"40.29013","-74.67654","Phosphorus",0,18.632902,,0,0,"DMR Data","DMR Data","Y","Y"
2020,"NJ0020028","110017411772","4952","221320","BERGEN COUNTY UTILITIES AUTHORITY","LITTLE FERRY","NJ","07643","BERGEN","34003","02","POTW","NPDES Individual Permit","Major","020301030906",94,,"40.8369","-74.0332","Nitrogen",2960585.90310508515,26110.283,246715.4919254237625,,13.586,"Modeled","DMR Data","Y","Y"
2020,"NJ0020028","110017411772","4952","221320","BERGEN COUNTY UTILITIES AUTHORITY","LITTLE FERRY","NJ","07643","BERGEN","34003","02","POTW","NPDES Individual Permit","Major","020301030906",94,,"40.8369","-74.0332","Phosphorus",444327.591375774225,26110.283,37027.29928131451875,,2.039,"Modeled","DMR Data","Y","Y"
2020,"NJ0020141","110000715888","4952","","MIDDLESEX COUNTY UTILITIES AUTHORITY","SAYREVILLE","NJ","08872","MIDDLESEX","34023","02","POTW","NPDES Individual Permit","Major","020301050507",147,,"40.4911","-74.3042","Nitrogen",3992459.187068304435,35217.7017,332704.93225569203625,,13.48266666666666666666666666666666666677,"Modeled","DMR Data","Y","Y"
2020,"NJ0020141","110000715888","4952","","MIDDLESEX COUNTY UTILITIES AUTHORITY","SAYREVILLE","NJ","08872","MIDDLESEX","34023","02","POTW","NPDES Individual Permit","Major","020301050507",147,,"40.4911","-74.3042","Phosphorus",599855.9638747584825,35217.7017,49987.996989563206875,,2.18758333333333333333333333333333333334,"Modeled","DMR Data","Y","Y"
2020,"NJ0020184","110010602482","4952","","NEWTON TOWN DPW","NEWTON","NJ","07860","SUSSEX","34037","02","POTW","NPDES Individual Permit","Major","020401050101",1.4,,"41.058823","-74.747892","Nitrogen",40424.265,312.56,,0,16.08815881419721277957989705843475917192,"DMR Data","DMR Data","Y","Y"
2020,"NJ0020184","110010602482","4952","","NEWTON TOWN DPW","NEWTON","NJ","07860","SUSSEX","34037","02","POTW","NPDES Individual Permit","Major","020401050101",1.4,,"41.058823","-74.747892","Phosphorus",411.96015,312.56,87.906,0,.1541417809975865401453810827416985028908,"DMR Data","DMR Data","Y","Y"
2020,"NJ0020206","110039900925","4952","","ALLENTOWN STP","ALLENTOWN","NJ","08501","MONMOUTH","34025","02","POTW","NPDES Individual Permit","Non-Major","020402010104",.238,,"40.1774","-74.5963","Nitrogen",0,0,,,14.436,"Modeled","DMR Data","Y","Y"
2020,"NJ0020206","110039900925","4952","","ALLENTOWN STP","ALLENTOWN","NJ","08501","MONMOUTH","34025","02","POTW","NPDES Individual Permit","Non-Major","020402010104",.238,,"40.1774","-74.5963","Phosphorus",0,0,,0,0,"DMR Data","DMR Data","Y","Y"
2020,"NJ0020281","110015104135","6513","","CHATHAM HILL STP","CHATHAM TWP","NJ","079280000","MORRIS","34027","02","NON-POTW","NPDES Individual Permit","Non-Major","020301030602",.03,,"40.712879","-74.416264","Phosphorus",17.7839977455,4.865,2.57151859125,0,.440666666666666666666666666666666666668,"DMR Data","DMR Data","Y","Y"
2020,"NJ0020290","110015082989","4952","","CHATHAM TWP DPW MAIN STP WATER POLLUTION CONTROL PLANT","CHATHAM","NJ","07928","MORRIS","34027","02","POTW","NPDES Individual Permit","Major","020301030602",1.155,,"40.72049","-74.418236","Nitrogen",36993.5670464451,307.047,3082.797253870425,,14.436,"Modeled","DMR Data","Y","Y"
2020,"NJ0020290","110015082989","4952","","CHATHAM TWP DPW MAIN STP WATER POLLUTION CONTROL PLANT","CHATHAM","NJ","07928","MORRIS","34027","02","POTW","NPDES Individual Permit","Major","020301030602",1.155,,"40.72049","-74.418236","Phosphorus",700.1612808876,307.047,162.29744478675,0,.2773333333333333333333333333333333333317,"DMR Data","DMR Data","Y","Y"
2020,"NJ0020371","110009722130","4952","","CAPE MAY REGIONAL WTF","CAPE MAY POINT","NJ","08212","CAPE MAY COUNTY","34009","02","POTW","NPDES Individual Permit","Major","020402060701",3,,"38.944001","-74.961286","Nitrogen",48158.3543880159,435.133,4013.196199001325,,13.4525,"Modeled","DMR Data","Y","Y"
2020,"NJ0020371","110009722130","4952","","CAPE MAY REGIONAL WTF","CAPE MAY POINT","NJ","08212","CAPE MAY COUNTY","34009","02","POTW","NPDES Individual Permit","Major","020402060701",3,,"38.944001","-74.961286","Phosphorus",9243.68902483005,435.133,770.3074187358375,,2.52525,"Modeled","DMR Data","Y","Y"
2020,"NJ0020389","110022415634","4952","","CLINTON TOWN  WWTP","CLINTON","NJ","08809","HUNTERDON","34019","02","POTW","NPDES Individual Permit","Major","020301050202",2.03,,"40.65334","-74.81611","Nitrogen",45677.851102296,425.476,3806.487591858,,12.8905,"Modeled","DMR Data","Y","Y"
2020,"NJ0020389","110022415634","4952","","CLINTON TOWN  WWTP","CLINTON","NJ","08809","HUNTERDON","34019","02","POTW","NPDES Individual Permit","Major","020301050202",2.03,,"40.65334","-74.81611","Phosphorus",1102.2354,425.476,1032.85875,0,.3140361565470216193804266695909098928425,"DMR Data","DMR Data","Y","Y"
2020,"NJ0020427","110006620059","4952","","CALDWELL BORO MUA CALDWELL WWTP","WEST CALDWELL","NJ","07006","ESSEX","34013","02","POTW","NPDES Individual Permit","Major","020301030606",4.5,,"40.83853","-74.31012","Nitrogen",159997.099208625,1493.42,13333.09160071875,,12.8196666666666666666666666666666666667,"Modeled","DMR Data","Y","Y"
2020,"NJ0020427","110006620059","4952","","CALDWELL BORO MUA CALDWELL WWTP","WEST CALDWELL","NJ","07006","ESSEX","34013","02","POTW","NPDES Individual Permit","Major","020301030606",4.5,,"40.83853","-74.31012","Phosphorus",2332.0876346775,1493.42,789.384849855,0,.181666666666666666666666666666666666668,"DMR Data","DMR Data","Y","Y"
2020,"NJ0020532","110028271778","4952","","HARRISON TOWNSHIP TREATMENT PL","MULLICA HILL","NJ","080629419","GLOUCESTER","34015","02","POTW","NPDES Individual Permit","Non-Major","020402020606",.8,,"39.738391","-75.2316","Nitrogen",17560.4594220216,145.752,1463.3716185018,,14.436,"Modeled","DMR Data","Y","Y"
